year,sex,course,intake,enrolment,graduates
2011,M,Sciences,917,3340,619
2011,F,Sciences,1335,4482,1217
2011,M,Arts` Humanities and the Social Sciences,118,252,24
2011,F,Arts` Humanities and the Social Sciences,269,575,50
2012,M,Business,531,1685,447
2012,F,Business,682,2316,589
2012,M,Architecture and Built Environment,179,710,155
2012,F,Architecture and Built Environment,216,1119,241
2012,M,Business,743,2705,572
2012,F,Business,989,3368,825
2012,M,Dentistry,23,81,21
2012,F,Dentistry,30,120,21
2012,M,Education,73,408,111
2012,F,Education,344,1130,503
2012,M,Engineering,3092,11400,2608
2012,F,Engineering,1344,4785,1119
2012,M,Arts` Humanities and the Social Sciences,166,586,108
2012,F,Arts` Humanities and the Social Sciences,270,761,149
2012,M,Health Sciences,88,345,61
2012,F,Health Sciences,359,948,218
2012,M,Arts` Humanities and the Social Sciences,838,3327,737
2012,F,Arts` Humanities and the Social Sciences,1758,6760,1494
2012,M,Information & Digital Technologies,674,2617,484
2012,F,Information & Digital Technologies,354,1236,280
2012,M,Law,183,757,140
2012,F,Law,191,717,207
2012,M,Arts` Humanities and the Social Sciences,37,184,37
2012,F,Arts` Humanities and the Social Sciences,143,494,133
2012,M,Medicine,143,695,129
2012,F,Medicine,157,679,123
2012,M,Sciences,862,3258,837
2012,F,Sciences,1382,4625,1074
2012,M,Arts` Humanities and the Social Sciences,127,345,54
2012,F,Arts` Humanities and the Social Sciences,221,702,135
2013,M,Business,506,1768,399
2013,F,Business,679,2274,688
2013,M,Architecture and Built Environment,182,760,143
2013,F,Architecture and Built Environment,222,1123,258
2013,M,Business,803,2782,693
2013,F,Business,977,3406,897
2013,M,Dentistry,23,83,21
2013,F,Dentistry,31,124,27
2013,M,Education,68,307,163
2013,F,Education,246,975,402
2013,M,Engineering,3251,11294,3070
2013,F,Engineering,1482,4893,1242
2013,M,Arts` Humanities and the Social Sciences,200,628,138
2013,F,Arts` Humanities and the Social Sciences,271,864,152
2013,M,Health Sciences,137,387,95
2013,F,Health Sciences,404,1054,296
2013,M,Arts` Humanities and the Social Sciences,1054,3550,818
2013,F,Arts` Humanities and the Social Sciences,2132,7095,1766
2013,M,Information & Digital Technologies,735,2737,573
2013,F,Information & Digital Technologies,351,1321,251
2013,M,Law,195,755,189
2013,F,Law,208,736,179
2013,M,Arts` Humanities and the Social Sciences,51,173,62
2013,F,Arts` Humanities and the Social Sciences,135,529,100
2013,M,Medicine,165,725,134
2013,F,Medicine,189,744,124
2013,M,Sciences,807,3140,870
2013,F,Sciences,1430,4715,1257
2013,M,Arts` Humanities and the Social Sciences,139,371,136
2013,F,Arts` Humanities and the Social Sciences,178,551,345
2014,M,Business,655,1912,473
2014,F,Business,860,2456,649
2014,M,Architecture and Built Environment,156,777,146
2014,F,Architecture and Built Environment,314,1213,258
2014,M,Business,837,2980,631
2014,F,Business,1065,3597,846
2014,M,Dentistry,16,84,15
2014,F,Dentistry,38,132,30
2014,M,Education,68,252,120
2014,F,Education,233,813,388
2014,M,Engineering,3497,11556,3047
2014,F,Engineering,1441,5050,1174
2014,M,Arts` Humanities and the Social Sciences,187,641,165
2014,F,Arts` Humanities and the Social Sciences,304,937,229
2014,M,Health Sciences,165,422,124
2014,F,Health Sciences,379,1076,309
2014,M,Arts` Humanities and the Social Sciences,1022,3756,803
2014,F,Arts` Humanities and the Social Sciences,2107,7535,1619
2014,M,Information & Digital Technologies,823,2809,708
2014,F,Information & Digital Technologies,343,1343,289
2014,M,Law,227,799,180
2014,F,Law,170,715,176
2014,M,Arts` Humanities and the Social Sciences,46,174,44
2014,F,Arts` Humanities and the Social Sciences,139,555,114
2014,M,Medicine,197,784,134
2014,F,Medicine,182,801,127
2014,M,Sciences,919,3223,786
2014,F,Sciences,1357,4922,1103
2014,M,Arts` Humanities and the Social Sciences,54,286,135
2014,F,Arts` Humanities and the Social Sciences,69,393,219
2015,M,Business,640,2039,480
2015,F,Business,830,2684,556
2015,M,Architecture and Built Environment,157,784,188
2015,F,Architecture and Built Environment,262,1189,351
2015,M,Business,848,3111,771
2015,F,Business,1272,4027,848
2015,M,Dentistry,20,85,19
2015,F,Dentistry,34,134,32
2015,M,Education,47,204,96
2015,F,Education,247,751,305
2015,M,Engineering,3505,11707,3078
2015,F,Engineering,1429,4970,1296
2015,M,Arts` Humanities and the Social Sciences,222,665,187
2015,F,Arts` Humanities and the Social Sciences,244,934,233
2015,M,Health Sciences,152,441,128
2015,F,Health Sciences,417,1126,353
2015,M,Arts` Humanities and the Social Sciences,1033,3861,743
2015,F,Arts` Humanities and the Social Sciences,2158,8054,1450
2015,M,Information & Digital Technologies,858,3049,689
2015,F,Information & Digital Technologies,389,1492,377
2015,M,Law,234,844,187
2015,F,Law,171,706,168
2015,M,Arts` Humanities and the Social Sciences,40,174,42
2015,F,Arts` Humanities and the Social Sciences,181,602,130
2015,M,Medicine,214,860,137
2015,F,Medicine,176,859,115
2015,M,Sciences,859,3237,790
2015,F,Sciences,1288,4989,1145
2015,M,Arts` Humanities and the Social Sciences,105,352,154
2015,F,Arts` Humanities and the Social Sciences,94,373,188
2016,M,Business,609,2181,439
2016,F,Business,912,2909,664
2016,M,Architecture and Built Environment,167,775,185
2016,F,Architecture and Built Environment,252,1205,274
2016,M,Business,959,3284,751
2016,F,Business,1237,4230,969
2016,M,Dentistry,15,75,25
2016,F,Dentistry,39,145,28
2016,M,Education,45,166,79
2016,F,Education,172,577,327
2016,M,Engineering,3664,12116,3016
2016,F,Engineering,1333,4859,1267
2016,M,Arts` Humanities and the Social Sciences,161,670,173
2016,F,Arts` Humanities and the Social Sciences,297,958,259
2016,M,Health Sciences,205,525,112
2016,F,Health Sciences,593,1335,368
2016,M,Arts` Humanities and the Social Sciences,1014,4046,803
2016,F,Arts` Humanities and the Social Sciences,2205,8449,1760
2016,M,Information & Digital Technologies,981,3311,670
2016,F,Information & Digital Technologies,398,1499,381
2016,M,Law,189,853,178
2016,F,Law,210,740,173
2016,M,Arts` Humanities and the Social Sciences,42,178,35
2016,F,Arts` Humanities and the Social Sciences,148,596,153
2016,M,Medicine,206,933,131
2016,F,Medicine,204,912,147
2016,M,Sciences,854,3300,755
2016,F,Sciences,1240,4967,1195
2016,M,Arts` Humanities and the Social Sciences,91,355,84
2016,F,Arts` Humanities and the Social Sciences,110,382,95
2017,M,Business,674,2263,553
2017,F,Business,834,2963,725
2017,M,Architecture and Built Environment,191,793,195
2017,F,Architecture and Built Environment,219,1222,238
2017,M,Business,988,3500,755
2017,F,Business,1405,4665,936
2017,M,Dentistry,24,76,23
2017,F,Dentistry,30,141,33
2017,M,Education,20,125,54
2017,F,Education,150,502,206
2017,M,Engineering,3781,12399,3132
2017,F,Engineering,1474,4770,1343
2017,M,Arts` Humanities and the Social Sciences,188,672,167
2017,F,Arts` Humanities and the Social Sciences,276,957,257
2017,M,Health Sciences,259,633,142
2017,F,Health Sciences,703,1611,410
2017,M,Arts` Humanities and the Social Sciences,1105,4185,945
2017,F,Arts` Humanities and the Social Sciences,2068,8475,1963
2017,M,Information & Digital Technologies,1131,3761,647
2017,F,Information & Digital Technologies,448,1599,330
2017,M,Law,190,847,187
2017,F,Law,201,741,188
2017,M,Arts` Humanities and the Social Sciences,54,182,48
2017,F,Arts` Humanities and the Social Sciences,135,599,128
2017,M,Medicine,229,1016,145
2017,F,Medicine,194,946,156
2017,M,Sciences,680,3282,730
2017,F,Sciences,815,4544,1308
2017,M,Arts` Humanities and the Social Sciences,81,335,99
2017,F,Arts` Humanities and the Social Sciences,121,377,117
2018,M,Business,690,2321,579
2018,F,Business,731,2898,720
2018,M,Architecture and Built Environment,178,803,174
2018,F,Architecture and Built Environment,280,1190,343
2018,M,Business,1084,3741,837
2018,F,Business,1701,5277,1047
2018,M,Dentistry,27,89,14
2018,F,Dentistry,33,135,39
2018,M,Education,35,100,57
2018,F,Education,185,449,226
2018,M,Engineering,3729,12747,3154
2018,F,Engineering,1484,4909,1226
2018,M,Arts` Humanities and the Social Sciences,163,662,180
2018,F,Arts` Humanities and the Social Sciences,247,945,275
2018,M,Health Sciences,273,751,150
2018,F,Health Sciences,728,1927,385
2018,M,Arts` Humanities and the Social Sciences,1041,4220,945
2018,F,Arts` Humanities and the Social Sciences,2327,8753,1975
2018,M,Information & Digital Technologies,1354,4238,871
2018,F,Information & Digital Technologies,685,1905,373
2018,M,Law,254,890,238
2018,F,Law,226,818,165
2018,M,Arts` Humanities and the Social Sciences,42,178,46
2018,F,Arts` Humanities and the Social Sciences,146,600,142
2018,M,Medicine,229,1079,166
2018,F,Medicine,208,966,189
2018,M,Sciences,823,3225,839
2018,F,Sciences,916,4136,1271
2018,M,Arts` Humanities and the Social Sciences,118,353,98
2018,F,Arts` Humanities and the Social Sciences,104,385,99
2019,M,Business,653,2327,588
2019,F,Business,780,2801,830
2019,M,Architecture and Built Environment,204,847,182
2019,F,Architecture and Built Environment,288,1173,310
2019,M,Business,1251,4134,847
2019,F,Business,1859,5894,1178
2019,M,Dentistry,21,91,19
2019,F,Dentistry,39,141,33
2019,M,Education,34,106,33
2019,F,Education,156,500,102
2019,M,Engineering,3628,13026,3232
2019,F,Engineering,1473,5106,1207
2019,M,Arts` Humanities and the Social Sciences,174,637,181
2019,F,Arts` Humanities and the Social Sciences,249,940,242
2019,M,Health Sciences,261,852,154
2019,F,Health Sciences,784,2255,430
2019,M,Arts` Humanities and the Social Sciences,1012,4227,978
2019,F,Arts` Humanities and the Social Sciences,2299,8965,2052
2019,M,Information & Digital Technologies,1646,5012,803
2019,F,Information & Digital Technologies,874,2374,383
2019,M,Law,250,912,217
2019,F,Law,215,862,155
2019,M,Arts` Humanities and the Social Sciences,24,161,41
2019,F,Arts` Humanities and the Social Sciences,144,564,175
2019,M,Medicine,236,1117,194
2019,F,Medicine,194,978,181
2019,M,Sciences,724,3135,791
2019,F,Sciences,1023,3904,1196
2019,M,Arts` Humanities and the Social Sciences,116,363,95
2019,F,Arts` Humanities and the Social Sciences,102,393,82
2020,M,Business,556,2223,599
2020,F,Business,812,2759,812
2020,M,Architecture and Built Environment,179,840,168
2020,F,Architecture and Built Environment,304,1183,258
2020,M,Business,1339,4591,896
2020,F,Business,2039,6684,1209
2020,M,Dentistry,13,88,16
2020,F,Dentistry,59,165,35
2020,M,Education,31,113,30
2020,F,Education,153,577,115
2020,M,Engineering,3722,12901,3375
2020,F,Engineering,1503,5149,1246
2020,M,Arts` Humanities and the Social Sciences,133,606,157
2020,F,Arts` Humanities and the Social Sciences,251,911,272
2020,M,Health Sciences,257,892,202
2020,F,Health Sciences,761,2455,522
2020,M,Arts` Humanities and the Social Sciences,929,4109,1022
2020,F,Arts` Humanities and the Social Sciences,2001,8783,2125
2020,M,Information & Digital Technologies,2017,6014,970
2020,F,Information & Digital Technologies,846,2797,397
2020,M,Law,204,916,190
2020,F,Law,259,907,204
2020,M,Arts` Humanities and the Social Sciences,28,148,39
2020,F,Arts` Humanities and the Social Sciences,142,566,142
2020,M,Medicine,253,1158,208
2020,F,Medicine,224,1020,178
2020,M,Sciences,788,3089,801
2020,F,Sciences,891,3624,1127
2020,M,Arts` Humanities and the Social Sciences,143,402,107
2020,F,Arts` Humanities and the Social Sciences,139,412,112
